行,名前,ローマ字
あ,EARTH,a-su
あ,EARTHSHAKER,a-sushieika-
あ,ART-SCHOOL,a-tosuku-ru
あ,Early Morning,a-ri-mo-ningu
あ,RSP,a-ruesupi-
あ,RCサクセション,a-rushi-sakuseshon
あ,AI,ai
あ,I WiSH,aiuisshu
あ,愛内里菜,aiuchirina
あ,相川七瀬,aikawananase
あ,aiko,aiko
あ,ICE,aisu
あ,Iceman,aisuman
あ,アイドリング！！！,aidoringu
あ,I've,aibu
あ,Aira Mitsuki,airamitsuki
あ,藍坊主,aobouzu
あ,青山テルマ,aoyamateruma
あ,AGHARTA,agaruta
あ,Aqua Timez,akuataimuzu
あ,access,akusesu
あ,ACO,ako
あ,浅井健一,asaiken-ichi
あ,浅香唯,asakayui
あ,ASIAN KUNG-FU GENERATION,ajiankanfu-jienere-shon
あ,AJICO,ajiko
あ,芦田愛菜,ashidamana
あ,acid android,ashiddoandoroido
あ,Acid Black Cherry,ashiddoburakkucheri-
あ,ACIDMAN,ashiddoman
あ,ASKA,asuka
あ,Asriel,azurieru
あ,中孝介,atarikousuke
あ,UP-BEAT,appubi-to
あ,アナログフィッシュ,anarogufisshu
あ,ANIMETAL,animetaru
あ,abingdon boys school,abingudonbo-izusuku-ru
あ,安倍なつみ,abenatsumi
あ,阿部真央,abemao
あ,天野月子,amanotsukiko
あ,あみん,amin
あ,安室奈美恵,amuronamie
あ,絢香,ayaka
あ,新居昭乃,araiakino
あ,荒井由実,araiyumi
あ,新垣結衣,aragakiyui
あ,荒木真樹彦,arakimakihiko
あ,嵐,arashi
あ,安良城紅,arashirobeni
あ,alan,aran
あ,アリス,arisu
あ,Alice Nine,arisunain
あ,ALI PROJECT,aripurojiekuto
あ,al.ni.co,aruniko
あ,THE ALFEE,arufi-
あ,アン・サリー,ansari-
あ,angela,anjiera
あ,アンジェラ・アキ,anjieraaki
あ,Angelo,anjiero
あ,安全地帯,anzenchitai
あ,アンダーグラフ,anda-gurafu
あ,UNCHAIN,anchein
あ,アンティック-珈琲店-,anteikkukafe
あ,andymori,andimori
あ,安藤裕子,andouyuuko
あ,androp,andoroppu
あ,杏里,anri
あ,アン・ルイス,anruisu
い,EE JUMP,i-i-janpu
い,飯島真理,iijimamari
い,eastern youth,i-sutanyu-su
い,EAST END×YURI,i-sutoendopurasuyuri
い,飯塚雅弓,iizukamayumi
い,家入レオ,ieirireo
い,YELLOW MAGIC ORCHESTRA,iero-majikkuo-kesutora
い,THE YELLOW MONKEY,iero-monki-
い,いきものがかり,ikimonogakari
い,池田聡,ikedasatoshi
い,石井竜也,ishiitatsuya
い,石川セリ,ishikawaseri
い,石川優子,ishikawayuuko
い,石田燿子,ishidayouko
い,石野卓球,ishinotakkyuu
い,石野真子,ishinomako
い,泉谷しげる,izumiyashigeru
い,伊勢正三,iseshouzou
い,板野友美,itanotomomi
い,135[イチサンゴ],ichisango
い,五輪真弓,itsuwamayumi
い,伊藤由奈,itouyuna
い,稲垣潤一,inagakijun-ichi
い,THEイナズマ戦隊,inazumasentai
い,因幡晃,inabaakira
い,稲葉浩志,inabakoushi
い,INU,inu
い,井上昌己,inoueshouko
い,井上大輔,inouedaisuke
い,井上陽水,inoueyousui
い,井上陽水奥田民生,inoueyousuiokudatamio
い,INORAN,inoran
い,今井麻美,imaiasami
い,今井翼,imaitsubasa
