行,名前,ローマ字
ア,安室奈美恵,amuronamie
ア,ASIAN KUNG-FU GENERATION,ajiankanfu-jienere-shon
ア,亜咲花,a-saki-hana
ア,絢瀬絵里,aya-se-eri
ア,Aqours,aqours
ア,嵐,arashi
ア,あいみょん,aimyon
ア,安室奈美恵 with SUPER MONKEY'S,an-shitsu-nami-megumi-with-super-monkeys
ア,天海春香、萩原雪歩、高槻やよい、三浦あずさ,amagai-haru-kaori-hagiwara-yuki-ho-takatsuki-yayoi-miura-azusa
ア,藍井エイル,ai-i-eiru
ア,Alexandros,alexandros
ア,THE IDOLM@STER MILLION LIVE!,the-idolm-ster-million-live
ア,阿部真央,abemao
ア,IDOLiSH7,idolish7
ア,荒井由実,araiyumi
ア,安全地帯,anzenchitai
ア,Aqua Timez,akuataimuzu
ア,THE IDOLM@STER CINDERELLA GIRLS,the-idolm-ster-cinderella-girls
ア,絢香,ayaka
ア,青葉市子,aoba-ichiko
ア,iKON,ikon
ア,AIKATSU☆STARS!,aikatsustars
ア,AI,ai
ア,雨のパレード,ame-no-pare-do
ア,ACID ANDROID,acid-android
ア,朝倉さや,asakura-saya
ア,アデル,aderu
ア,amazarashi,amazarashi
ア,クラウディオ・アバド,kuraudio-abado
ア,アイドルネッサンス,aidorunessansu
ア,アンジュルム,anjurumu
イ,E-girls,e-girls
イ,ET-KING,et-king
イ,いきものがかり,ikimonogakari
イ,石崎ひゅーい,ishizaki-hyui
イ,家入レオ,ieirireo
イ,石井竜也,ishiitatsuya
イ,今井美樹,imaimiki
イ,五木ひろし,itsuki-hiroshi
イ,=LOVE,love
イ,岩崎琢,iwasaki-taku
イ,LEE HI,lee-hi
ウ,UVERworld,u-ba-wa-rudo
ウ,"Wake Up,Girls!",wake-up-girls
ウ,内田真礼,uchida-makoto-rei
ウ,上坂すみれ,uesaka-sumire
ウ,植松伸夫,uematsu-nobuo
ウ,浦島坂田船,urashima-sakata-fune
ウ,宇多田ヒカル,utadahikaru
ウ,アラン・ウォーカー,aran-uo-ka-
ウ,VARIOUS,various
ウ,ウィーン・フィルハーモニー管弦楽団,ui-n-firuha-monikangengakudan
ウ,ウカスカジー,ukasukaji-
エ,ENDRECHERI,endrecheri
エ,EXILE THE SECOND,exile-the-second
エ,A.B.C-Z,a-b-c-z
エ,NMB48,nmb48
エ,NGT48,ngt48
エ,AKB48,akb48
エ,FTISLAND,efutei-airando
エ,EXILE ATSUSHI,exile-atsushi
エ,EXO-CBX,exo-cbx
エ,NCT 127,nct-127
エ,エレファントカシマシ,erefantokashimashi
エ,Aimer,aimer
エ,SF9,sf9
エ,H ZETTRIO,h-zettrio
エ,M．S．S　Project,mss-project
エ,AirBox,airbox
