行,名前,ローマ字
ア,安室奈美恵,an-shitsu-nami-megumi
ア,ASIAN KUNG-FU GENERATION,asian-kung-fu-generation
ア,亜咲花,a-saki-hana
ア,絢瀬絵里,aya-se-eri
ア,Aqours,aqours
ア,嵐,arashi
ア,あいみょん,aimyon
ア,安室奈美恵 with SUPER MONKEY'S,an-shitsu-nami-megumi-with-super-monkeys
ア,天海春香、萩原雪歩、高槻やよい、三浦あずさ,amagai-haru-kaori-hagiwara-yuki-ho-takatsuki-yayoi-miura-azusa
ア,藍井エイル,ai-i-eiru
ア,Alexandros,alexandros
ア,THE IDOLM@STER MILLION LIVE!,the-idolm-ster-million-live
ア,阿部真央,abe-mao
ア,IDOLiSH7,idolish7
ア,荒井由実,arai-yumi
ア,安全地帯,anzenchitai
ア,Aqua Timez,aqua-timez
ア,THE IDOLM@STER CINDERELLA GIRLS,the-idolm-ster-cinderella-girls
ア,絢香,aya-kaori
ア,青葉市子,aoba-ichiko
ア,iKON,ikon
ア,AIKATSU☆STARS!,aikatsustars
ア,AI,ai
ア,雨のパレード,ame-no-pare-do
ア,ACID ANDROID,acid-android
ア,朝倉さや,asakura-saya
ア,アデル,aderu
ア,amazarashi,amazarashi
ア,クラウディオ・アバド,kuraudio-abado
ア,アイドルネッサンス,aidorunessansu
ア,アンジュルム,anjurumu
イ,E-girls,e-girls
イ,ET-KING,et-king
イ,いきものがかり,ikimonogakari
イ,石崎ひゅーい,ishizaki-hyui
イ,家入レオ,ie-nyuu-reo
イ,石井竜也,ishii-tatsuya
イ,今井美樹,imaimiki
イ,五木ひろし,itsuki-hiroshi
イ,=LOVE,love
イ,岩崎琢,iwasaki-taku
イ,LEE HI,lee-hi
ウ,UVERworld,uverworld
ウ,"Wake Up,Girls!",wake-up-girls
ウ,内田真礼,uchida-makoto-rei
ウ,上坂すみれ,uesaka-sumire
ウ,植松伸夫,uematsu-nobuo
ウ,浦島坂田船,urashima-sakata-fune
ウ,宇多田ヒカル,u-tada-hikaru
ウ,アラン・ウォーカー,aran-uo-ka-
ウ,VARIOUS,various
ウ,ウィーン・フィルハーモニー管弦楽団,ui-n-firuha-monikangengakudan
ウ,ウカスカジー,ukasukaji-
エ,ENDRECHERI,endrecheri
エ,EXILE THE SECOND,exile-the-second
エ,A.B.C-Z,a-b-c-z
エ,NMB48,nmb48
エ,NGT48,ngt48
エ,AKB48,akb48
エ,FTISLAND,ftisland
エ,EXILE ATSUSHI,exile-atsushi
エ,EXO-CBX,exo-cbx
エ,NCT 127,nct-127
エ,エレファントカシマシ,erefantokashimashi
エ,Aimer,aimer
エ,SF9,sf9
エ,H ZETTRIO,h-zettrio
エ,M．S．S　Project,mss-project
エ,AirBox,airbox
エ,ビル・エヴァンス,biru-evansu
エ,m-flo,m-flo
エ,AA=,aa
エ,STU48,stu48
エ,EXO,exo
エ,SA,sa
エ,A3ders!,a3ders
エ,X JAPAN,x-japan
エ,X,x
エ,EGOIST,egoist
エ,HKT48,hkt48
エ,ACOON HIBINO,acoon-hibino
エ,NCT,nct
エ,EXILE SHOKICHI,exile-shokichi
オ,小田和正,odakazumasa
オ,及川光博,oikawa-mitsuhiro
オ,大原櫻子,oohara-sakurako
オ,陰陽座,inyou-za
オ,Official髭男dism,official-hige-otoko-dism
オ,大橋トリオ,oohashi-torio
オ,岡崎体育,okazaki-taiiku
オ,小沢健二,ozawa-kenji
オ,大原ゆい子,oohara-yui-ko
オ,小野大輔,ono-daisuke
オ,丘みどり,oka-midori
オ,荻野目洋子,oginomeyouko
オ,ORESAMA,oresama
オ,大滝詠一,ootaki-eiichi
オ,奥田民生,okuda-minsei
オ,大橋彩香,oohashi-sai-kaori
オ,小野リサ,ono-risa
オ,大貫妙子,oonuki-taeko
オ,大西順子,oonishi-junko
カ,関ジャニ∞,kan-jani-∞
カ,KAT-TUN,kat-tun
カ,the GazettE,the-gazette
カ,GARNiDELiA,garnidelia
カ,角松敏生,kadomatsu-toshiki
カ,加藤ミリヤ,katou-miriya
カ,KAN,kan
カ,Kalafina,kalafina
カ,川嶋あい,kawashima-ai
カ,カーペンターズ,ka-penta-zu
カ,川井憲次,kawai-nori-tsugi
カ,カミラ・カベロ,kamira-kabero
カ,ヘルベルト・フォン・カラヤン,heruberuto-fon-karayan
カ,CAMILA CABELLO,camila-cabello
キ,Kis-My-Ft2,kis-my-ft2
キ,King & Prince,king-prince
キ,KinKi Kids,kinki-kids
キ,XX:me,xx:me
キ,キュアエール(CV:引坂理絵)、キュアアンジュ(CV:本泉莉奈)、キュアエトワール(CV:小倉唯),kyuae-rukyuaanjukyuaetowa-ru-
キ,Kiroro,kiroro
キ,ロリー・ギャラガー,rorigyaraga-
キ,キングダム・カム,kingudamu-kamu
ク,GReeeeN,greeeen
ク,GLIM SPANKY,glim-spanky
ク,夜想令嬢ーGRAC&E NOCTURNE-,yoru-sou-reijou-grac-e-nocturne-
ク,Cleasky,cleasky
ク,熊木杏里,kuma-ki-anri
ク,Goose house,goose-house
ク,久保田利伸,kubotatoshinobu
ク,Creepy Nuts,creepy-nuts
ク,ClariS,claris
ク,Growth,growth
ク,くるり,kururi
ク,倉木麻衣,kura-ki-mai
ク,桑田佳祐,kuwata-keisuke
ク,クイーン,kui-n
ケ,欅坂46,keyaki-saka-46
ケ,ケツメイシ,ketsumeishi
ケ,Ken Yokoyama/NAMBA69,ken-yokoyamanamba69
コ,コブクロ,kobukuro
コ,小泉花陽,koizumi-hana-you
コ,高坂穂乃果,takasaka-ho-no-ka
コ,倖田來未,kou-ta-rai-hitsuji
コ,こぶしファクトリー,kobushi-fakutori-
コ,エバン・コール,eban-ko-ru
コ,郷ひろみ,sato-hiromi
コ,ゴールデンボンバー,go-rudenbonba-
コ,コーネリアス,ko-neriasu
コ,ゴスペラーズ,gosupera-zu
コ,KOKIA,kokia
サ,サカナクション,sakanakushon
サ,佐々木恵梨,sasaki-megumi-nashi
サ,斉藤和義,saitou-kazuyoshi
サ,佐野元春 ＆ ザ・ホーボー・キング・バンド,sano-motoharu-za-ho-bokingu-bando
サ,Suchmos,suchmos
サ,沢田研二,sawadakenji
サ,さユり,sa-yu-ri
サ,彩、神速一魂、THE虎牙道,sai-kami-soku-ichi-tamashii-the-tora-kiba-michi
サ,サザンオールスターズ,sazano-rusuta-zu
サ,saya,saya
サ,SawanoHiroyukinZk,sawanohiroyukinzk
サ,桜田淳子,sakurada-junko
サ,さだまさし,sadamasashi
サ,崎山つばさ with 桜men,sakiyama-tsubasa-with-sakura-men
サ,坂本真綾,sakamoto-makoto-aya
サ,坂本美雨,sakamoto-bi-ame
サ,三代目J Soul Brothers from EXILE TRIBE,sandaime-j-soul-brothers-from-exile-tribe
サ,坂口有望,sakaguchi-yuubou
シ,SHINee,shinee
シ,JUJU,juju
シ,椎名林檎,shiina-ringo
シ,Juice=Juice,juicejuice
シ,ジャニーズWEST,jani-zu-west
シ,シド,shido
シ,Jun.K(From 2PM),jun-k
シ,SHISHAMO,shishamo
シ,島津亜矢,shimazu-a-ya
シ,GENERATIONS from EXILE TRIBE,generations-from-exile-tribe
シ,エド・シーラン,edo-shi-ran
シ,GENERATIONS　from　EXILE　TRIBE,generations-from-exile-tribe
シ,シェネル,shieneru
シ,JUNNA,junna
