名前,ローマ字,画像,リーグ
北海道コンサドーレ札幌,sapporo,https://soccer.sports.smt.docomo.ne.jp/img/emblem/sapporo.png,soccer_j1
ベガルタ仙台,sendai,https://soccer.sports.smt.docomo.ne.jp/img/emblem/sendai.png,soccer_j1
鹿島アントラーズ,kashima,https://soccer.sports.smt.docomo.ne.jp/img/emblem/kashima.png,soccer_j1
浦和レッズ,urawa,https://soccer.sports.smt.docomo.ne.jp/img/emblem/urawa.png,soccer_j1
柏レイソル,kashiwa,https://soccer.sports.smt.docomo.ne.jp/img/emblem/kashiwa.png,soccer_j1
ＦＣ東京,fctokyo,https://soccer.sports.smt.docomo.ne.jp/img/emblem/fctokyo.png,soccer_j1
川崎フロンターレ,kawasaki,https://soccer.sports.smt.docomo.ne.jp/img/emblem/kawasaki.png,soccer_j1
横浜Ｆ・マリノス,yokohamafm,https://soccer.sports.smt.docomo.ne.jp/img/emblem/yokohamafm.png,soccer_j1
湘南ベルマーレ,shonan,https://soccer.sports.smt.docomo.ne.jp/img/emblem/shonan.png,soccer_j1
清水エスパルス,shimizu,https://soccer.sports.smt.docomo.ne.jp/img/emblem/shimizu.png,soccer_j1
ジュビロ磐田,iwata,https://soccer.sports.smt.docomo.ne.jp/img/emblem/iwata.png,soccer_j1
名古屋グランパス,nagoya,https://soccer.sports.smt.docomo.ne.jp/img/emblem/nagoya.png,soccer_j1
ガンバ大阪,gosaka,https://soccer.sports.smt.docomo.ne.jp/img/emblem/gosaka.png,soccer_j1
セレッソ大阪,cosaka,https://soccer.sports.smt.docomo.ne.jp/img/emblem/cosaka.png,soccer_j1
ヴィッセル神戸,kobe,https://soccer.sports.smt.docomo.ne.jp/img/emblem/kobe.png,soccer_j1
サンフレッチェ広島,hiroshima,https://soccer.sports.smt.docomo.ne.jp/img/emblem/hiroshima.png,soccer_j1
サガン鳥栖,tosu,https://soccer.sports.smt.docomo.ne.jp/img/emblem/tosu.png,soccer_j1
Ｖ・ファーレン長崎,nagasaki,https://soccer.sports.smt.docomo.ne.jp/img/emblem/nagasaki.png,soccer_j1
モンテディオ山形,yamagata,https://soccer.sports.smt.docomo.ne.jp/img/emblem/yamagata.png,soccer_j2
水戸ホーリーホック,mito,https://soccer.sports.smt.docomo.ne.jp/img/emblem/mito.png,soccer_j2
栃木ＳＣ,tochigi,https://soccer.sports.smt.docomo.ne.jp/img/emblem/tochigi.png,soccer_j2
大宮アルディージャ,omiya,https://soccer.sports.smt.docomo.ne.jp/img/emblem/omiya.png,soccer_j2
ジェフユナイテッド千葉,chiba,https://soccer.sports.smt.docomo.ne.jp/img/emblem/chiba.png,soccer_j2
東京ヴェルディ,tokyov,https://soccer.sports.smt.docomo.ne.jp/img/emblem/tokyov.png,soccer_j2
ＦＣ町田ゼルビア,machida,https://soccer.sports.smt.docomo.ne.jp/img/emblem/machida.png,soccer_j2
横浜ＦＣ,yokohamafc,https://soccer.sports.smt.docomo.ne.jp/img/emblem/yokohamafc.png,soccer_j2
アルビレックス新潟,niigata,https://soccer.sports.smt.docomo.ne.jp/img/emblem/niigata.png,soccer_j2
松本山雅ＦＣ,matsumoto,https://soccer.sports.smt.docomo.ne.jp/img/emblem/matsumoto.png,soccer_j2
ツエーゲン金沢,kanazawa,https://soccer.sports.smt.docomo.ne.jp/img/emblem/kanazawa.png,soccer_j2
ヴァンフォーレ甲府,kofu,https://soccer.sports.smt.docomo.ne.jp/img/emblem/kofu.png,soccer_j2
ＦＣ岐阜,gifu,https://soccer.sports.smt.docomo.ne.jp/img/emblem/gifu.png,soccer_j2
京都サンガF.C.,kyoto,https://soccer.sports.smt.docomo.ne.jp/img/emblem/kyoto.png,soccer_j2
ファジアーノ岡山,okayama,https://soccer.sports.smt.docomo.ne.jp/img/emblem/okayama.png,soccer_j2
レノファ山口ＦＣ,yamaguchi,https://soccer.sports.smt.docomo.ne.jp/img/emblem/yamaguchi.png,soccer_j2
カマタマーレ讃岐,sanuki,https://soccer.sports.smt.docomo.ne.jp/img/emblem/sanuki.png,soccer_j2
徳島ヴォルティス,tokushima,https://soccer.sports.smt.docomo.ne.jp/img/emblem/tokushima.png,soccer_j2
愛媛ＦＣ,ehime,https://soccer.sports.smt.docomo.ne.jp/img/emblem/ehime.png,soccer_j2
アビスパ福岡,fukuoka,https://soccer.sports.smt.docomo.ne.jp/img/emblem/fukuoka.png,soccer_j2
ロアッソ熊本,kumamoto,https://soccer.sports.smt.docomo.ne.jp/img/emblem/kumamoto.png,soccer_j2
大分トリニータ,oita,https://soccer.sports.smt.docomo.ne.jp/img/emblem/oita.png,soccer_j2
